product_name,price,category,sku,discount
  Wireless Mouse  ,19.99,Accessories,WM001,0%
Laptop Stand, 39.99,Office,LS002,10%
  USB-C Cable,8.50,Accessories  ,CB003,5%
Gaming Keyboard , 89.99 ,Gaming,GK004, 15%
Phone Case,12.00, Phone Accessories,PC005,0%
32GB SD Card,,Storage,SD006,
 Bluetooth Speaker,29.99,Audio,BS007,20%
4K Monitor,249.99, Monitors,MN008,10%
Portable Charger , 18.00,Power,CH009,5%
Noise Cancelling Headphones,129.99,Audio,HP010,15%
,15.99,Wearables,SW011,0%
Smart Watch  ,, Wearables,SW012,
 HDMI Cable,7.99 ,Accessories,HC013,0%
Webcam   ,59.99,Cameras,WC014,5%
Mechanical Keyboard, 109.99 ,Gaming,MK015,10%
