product_name,price,category,sku,discount
4K Monitor,249.99,Monitors,MN008,10%
Noise Cancelling Headphones,129.99,Audio,HP010,15%
Mechanical Keyboard,109.99,Gaming,MK015,10%
Gaming Keyboard,89.99,Gaming,GK004,15%
Webcam,59.99,Cameras,WC014,5%
Laptop Stand,39.99,Office,LS002,10%
Bluetooth Speaker,29.99,Audio,BS007,20%
Wireless Mouse,19.99,Accessories,WM001,0%
Portable Charger,18.0,Power,CH009,5%
Phone Case,12.0,Phone Accessories,PC005,0%
USB-C Cable,8.5,Accessories,CB003,5%
HDMI Cable,7.99,Accessories,HC013,0%
